method,value,se,true_value,par
CC,.70676821,.14650996,.5,trt
MI_T,.68418825,.12550431,.5,trt
MI_LOGT,.71247953,.14108141,.5,trt
CC,.34850079,.15998788,.5,trt
MI_T,.40600821,.14098307,.5,trt
MI_LOGT,.42870033,.13585888,.5,trt
CC,.64950752,.15215683,.5,trt
MI_T,.50287008,.13007805,.5,trt
MI_LOGT,.56040514,.1168512,.5,trt
CC,.43205339,.12628527,.5,trt
MI_T,.46732849,.11770109,.5,trt
MI_LOGT,.49225026,.11797793,.5,trt
CC,.42272082,.13811737,.5,trt
MI_T,.43057594,.12465809,.5,trt
MI_LOGT,.42082012,.12512499,.5,trt
CC,.61598259,.14519639,.5,trt
MI_T,.57238436,.11938836,.5,trt
MI_LOGT,.56948972,.14591245,.5,trt
CC,.58106273,.13772988,.5,trt
MI_T,.58071709,.13390215,.5,trt
MI_LOGT,.63665301,.14852244,.5,trt
CC,.4800128,.15775034,.5,trt
MI_T,.44851607,.17425299,.5,trt
MI_LOGT,.37554497,.13486606,.5,trt
CC,.2908099,.15114167,.5,trt
MI_T,.39181164,.14263926,.5,trt
MI_LOGT,.35351977,.1453307,.5,trt
CC,.53879416,.15026112,.5,trt
MI_T,.59747952,.13432792,.5,trt
MI_LOGT,.61945444,.13040957,.5,trt
CC,.54165602,.12889767,.5,trt
MI_T,.596255,.11210544,.5,trt
MI_LOGT,.56747073,.1244615,.5,trt
CC,.44760281,.14988542,.5,trt
MI_T,.43192616,.13395548,.5,trt
MI_LOGT,.47987181,.13249736,.5,trt
CC,.65357047,.13506047,.5,trt
MI_T,.71920615,.12512742,.5,trt
MI_LOGT,.73173261,.1188037,.5,trt
CC,.30353758,.1317701,.5,trt
MI_T,.34045377,.12930337,.5,trt
MI_LOGT,.36201411,.1176127,.5,trt
CC,.64476079,.15660693,.5,trt
MI_T,.70185715,.136039,.5,trt
MI_LOGT,.65506929,.15707211,.5,trt
CC,.38783115,.13906568,.5,trt
MI_T,.42861104,.13584761,.5,trt
MI_LOGT,.34452638,.12012648,.5,trt
CC,.63721293,.14665306,.5,trt
MI_T,.65512484,.12433089,.5,trt
MI_LOGT,.60184038,.12881637,.5,trt
CC,.54127729,.15203077,.5,trt
