coef,se,method,n_individuals,n_clusters,baseline,true
-0.426059854,0.061543812,Exp,30,15,Exponential,-0.5
-0.409991866,0.060852072,Wei,30,15,Exponential,-0.5
-0.426060142,0.062124357,Gom,30,15,Exponential,-0.5
-0.453417418,0.061979278,Exp,30,15,Exponential,-0.5
-0.466136313,0.063251094,Wei,30,15,Exponential,-0.5
NA,NA,Gom,30,15,Exponential,-0.5
-0.531608059,0.060046651,Exp,30,15,Exponential,-0.5
-0.543867038,0.06139233,Wei,30,15,Exponential,-0.5
-0.5316081,0.060874952,Gom,30,15,Exponential,-0.5
-0.481090665,0.061406639,Exp,30,15,Exponential,-0.5
-0.481438202,0.061935972,Wei,30,15,Exponential,-0.5
NA,NA,Gom,30,15,Exponential,-0.5
-0.545625031,0.062440322,Exp,30,15,Exponential,-0.5
-0.549852016,0.063309007,Wei,30,15,Exponential,-0.5
-0.545623773,0.063318367,Gom,30,15,Exponential,-0.5
-0.560629723,0.12031682,Exp,30,50,Exponential,-0.5
-0.571859841,0.120892454,Wei,30,50,Exponential,-0.5
-0.560635878,0.12103759,Gom,30,50,Exponential,-0.5
-0.611960776,0.114995634,Exp,30,50,Exponential,-0.5
-0.615559432,0.11556538,Wei,30,50,Exponential,-0.5
NA,NA,Gom,30,50,Exponential,-0.5
-0.551149475,0.121618487,Exp,30,50,Exponential,-0.5
-0.545845264,0.121888682,Wei,30,50,Exponential,-0.5
-0.551141237,0.121971727,Gom,30,50,Exponential,-0.5
-0.579066403,0.123630399,Exp,30,50,Exponential,-0.5
-0.5840241,0.123987943,Wei,30,50,Exponential,-0.5
-0.597964536,0.124155588,Gom,30,50,Exponential,-0.5
-0.564986449,0.11983662,Exp,30,50,Exponential,-0.5
-0.556908156,0.120257787,Wei,30,50,Exponential,-0.5
-0.564986661,0.120518381,Gom,30,50,Exponential,-0.5
-0.452411941,0.06664101,Exp,100,15,Exponential,-0.5
-0.465421051,0.066899371,Wei,100,15,Exponential,-0.5
NA,NA,Gom,100,15,Exponential,-0.5
-0.43814555,0.063130845,Exp,100,15,Exponential,-0.5
-0.438456091,0.063286707,Wei,100,15,Exponential,-0.5
NA,NA,Gom,100,15,Exponential,-0.5
-0.519616317,0.066213508,Exp,100,15,Exponential,-0.5
-0.5189768,0.066438816,Wei,100,15,Exponential,-0.5
NA,NA,Gom,100,15,Exponential,-0.5
-0.475135455,0.06850485,Exp,100,15,Exponential,-0.5
-0.46968895,0.068601287,Wei,100,15,Exponential,-0.5
NA,NA,Gom,100,15,Exponential,-0.5
-0.486230266,0.066246916,Exp,100,15,Exponential,-0.5
-0.481322485,0.066453224,Wei,100,15,Exponential,-0.5
-0.486230041,0.066530883,Gom,100,15,Exponential,-0.5
-0.45928631,0.068310045,Exp,100,50,Exponential,-0.5
-0.462047188,0.068450379,Wei,100,50,Exponential,-0.5
-0.459283347,0.068498293,Gom,100,50,Exponential,-0.5
-0.517835347,0.064119238,Exp,100,50,Exponential,-0.5
-0.508021257,0.064314782,Wei,100,50,Exponential,-0.5
-0.517848935,0.064362453,Gom,100,50,Exponential,-0.5
-0.41420147,0.067767423,Exp,100,50,Exponential,-0.5
-0.413062151,0.067858258,Wei,100,50,Exponential,-0.5
NA,NA,Gom,100,50,Exponential,-0.5
-0.548164589,0.068991607,Exp,100,50,Exponential,-0.5
-0.554825651,0.069204479,Wei,100,50,Exponential,-0.5
NA,NA,Gom,100,50,Exponential,-0.5
-0.515016027,0.067340727,Exp,100,50,Exponential,-0.5
-0.513510871,0.067477959,Wei,100,50,Exponential,-0.5
NA,NA,Gom,100,50,Exponential,-0.5
-0.330155739,0.059304699,Exp,30,15,Weibull,-0.5
-0.411509393,0.05956392,Wei,30,15,Weibull,-0.5
-0.45294183,0.059701077,Gom,30,15,Weibull,-0.5
-0.326441301,0.058893922,Exp,30,15,Weibull,-0.5
-0.418267877,0.059215909,Wei,30,15,Weibull,-0.5
-0.447115263,0.059389824,Gom,30,15,Weibull,-0.5
-0.414036246,0.060316489,Exp,30,15,Weibull,-0.5
-0.524529092,0.060739155,Wei,30,15,Weibull,-0.5
-0.556789907,0.060920895,Gom,30,15,Weibull,-0.5
-0.297587273,0.059638862,Exp,30,15,Weibull,-0.5
-0.385756478,0.060047193,Wei,30,15,Weibull,-0.5
-0.416745453,0.060273453,Gom,30,15,Weibull,-0.5
-0.458863165,0.058363201,Exp,30,15,Weibull,-0.5
-0.572460189,0.058836616,Wei,30,15,Weibull,-0.5
-0.627121147,0.059176845,Gom,30,15,Weibull,-0.5
-0.326474084,0.03228483,Exp,30,50,Weibull,-0.5
-0.411702111,0.032444128,Wei,30,50,Weibull,-0.5
-0.441940841,0.032541158,Gom,30,50,Weibull,-0.5
-0.363751842,0.033409412,Exp,30,50,Weibull,-0.5
-0.461161824,0.033589959,Wei,30,50,Weibull,-0.5
-0.496625832,0.033699742,Gom,30,50,Weibull,-0.5
-0.392841199,0.032737429,Exp,30,50,Weibull,-0.5
-0.496903607,0.032956203,Wei,30,50,Weibull,-0.5
-0.533701732,0.033080729,Gom,30,50,Weibull,-0.5
-0.327511549,0.032292369,Exp,30,50,Weibull,-0.5
-0.424050707,0.032462735,Wei,30,50,Weibull,-0.5
-0.462233491,0.03257095,Gom,30,50,Weibull,-0.5
-0.329236262,0.033141899,Exp,30,50,Weibull,-0.5
-0.427621249,0.033335322,Wei,30,50,Weibull,-0.5
-0.458582596,0.033429188,Gom,30,50,Weibull,-0.5
NA,NA,Exp,100,15,Weibull,-0.5
-0.420595318,0.060848078,Wei,100,15,Weibull,-0.5
-0.482372519,0.065147783,Gom,100,15,Weibull,-0.5
NA,NA,Exp,100,15,Weibull,-0.5
-0.405761687,0.05924141,Wei,100,15,Weibull,-0.5
-0.448392003,0.063005354,Gom,100,15,Weibull,-0.5
-0.342092896,0.054694403,Exp,100,15,Weibull,-0.5
