ni,nc,method,par,true_value,value,se
100,10,G,x,-0.5,0.43198871961724383,0.09652461850782856
500,10,G,x,-0.5,-2.8206350326360705,0.03101364738540724
1e3,10,G,x,-0.5,0.8786575532780607,0.01768682774854824
100,25,G,x,-0.5,1.588297622857711,0.10353910829871893
500,25,G,x,-0.5,1.1285555929397624,0.19588962860871106
1e3,25,G,x,-0.5,-1.3637687978155284,0.012949434050824493
100,50,G,x,-0.5,3.7759628635268676,0.2005740255699493
500,50,G,x,-0.5,0.6026431842649334,0.15124825079692528
1e3,50,G,x,-0.5,-2.2571337089975083,0.12439160567009822
100,10,J,x,-0.5,-6.764117234065168,0.19869471655692905
500,10,J,x,-0.5,2.6817851223416036,0.05859750433592126
1e3,10,J,x,-0.5,-0.6270914385514189,0.04147832258604467
100,25,J,x,-0.5,-0.5457929793058365,0.053403072350192815
500,25,J,x,-0.5,2.1695719396199604,0.17633263260358945
1e3,25,J,x,-0.5,1.8227643036319168,0.18588280392577872
100,50,J,x,-0.5,1.179806606354202,0.21576848957920447
500,50,J,x,-0.5,2.099260524884644,0.0857176369172521
1e3,50,J,x,-0.5,1.7122155282363938,0.23291619995143265
100,10,N,x,-0.5,-0.28909837849364645,0.04353624186478555
500,10,N,x,-0.5,-6.126736297239797,0.18132927734404802
1e3,10,N,x,-0.5,1.2531319579614923,0.10341365513158962
100,25,N,x,-0.5,-0.6587560493616396,0.19197355589130893
500,25,N,x,-0.5,-0.9406562370789304,0.13736566517036408
1e3,25,N,x,-0.5,-4.65991593640583,0.07698259031167254
100,50,N,x,-0.5,-1.8524125855681075,0.14005770161747932
500,50,N,x,-0.5,0.682117245427581,0.24217723810579628
1e3,50,N,x,-0.5,3.3429260973827373,0.07406724314205348
100,10,G,f,-0.5,-0.7907275961079442,0.043392057064920664
500,10,G,f,-0.5,0.5965009016285885,0.10314012179151177
1e3,10,G,f,-0.5,-0.6521836362327584,0.1572733714710921
100,25,G,f,-0.5,-4.3949126029249985,0.24698658991837874
500,25,G,f,-0.5,-1.673781879459014,0.20780664682388306
1e3,25,G,f,-0.5,-1.6152204000892718,0.20599693473195657
100,50,G,f,-0.5,-0.667763620118749,0.08057158009614795
500,50,G,f,-0.5,2.611341600028233,0.15731096389936283
1e3,50,G,f,-0.5,1.6585869878857937,0.11523166199913248
100,10,J,f,-0.5,-0.9653430023044358,0.14510719082318246
500,10,J,f,-0.5,-1.216615048469366,0.09522157994797453
1e3,10,J,f,-0.5,1.471310115949421,0.06423232582164928
100,25,J,f,-0.5,1.07448129047655,0.1355446635861881
500,25,J,f,-0.5,-2.448095288787264,0.09246644424274564
1e3,25,J,f,-0.5,-2.5010984925782225,0.04938416671939194
100,50,J,f,-0.5,0.5311935109009993,0.14143253269139677
500,50,J,f,-0.5,1.6737393699599181,0.03559495467925444
1e3,50,J,f,-0.5,-0.817763073808195,0.16267771366983652
100,10,N,f,-0.5,1.9921489933265475,0.17794502282049507
500,10,N,f,-0.5,0.6260134705511771,0.03229411778738722
1e3,10,N,f,-0.5,-2.23107205173106,0.00550377945182845
100,25,N,f,-0.5,0.46483218800989345,0.11693054618081078
500,25,N,f,-0.5,-3.6943212146422515,0.15354846540139988
1e3,25,N,f,-0.5,3.5532031082954063,0.20922092150431126
100,50,N,f,-0.5,5.101416790778576,0.19961215008515865
500,50,N,f,-0.5,-1.5386591848272189,0.24509860022226349
1e3,50,N,f,-0.5,-3.453258698960403,0.14084702625405043
100,10,G,v,-0.5,1.1114104477584146,0.23258288524812087
500,10,G,v,-0.5,-0.8819921049383757,0.10978488769615069
1e3,10,G,v,-0.5,6.29280081708391,0.20057663443731144
100,25,G,v,-0.5,-0.6109874881056105,0.04284332797396928
500,25,G,v,-0.5,1.4508775217609209,0.006123434752225876
1e3,25,G,v,-0.5,-0.4207979345533144,0.18929577944800258
100,50,G,v,-0.5,-2.6022941051001363,0.19013259874191135
500,50,G,v,-0.5,0.03398526088957443,0.02091737074078992
1e3,50,G,v,-0.5,-5.605193945000104,0.15471547411289066
100,10,J,v,-0.5,3.6452151232481143,0.040518521796911955
500,10,J,v,-0.5,-0.06653410124356668,0.19260589854093269
1e3,10,J,v,-0.5,5.645073779992441,0.162240797188133
100,25,J,v,-0.5,0.844944049615088,0.1846997543470934
500,25,J,v,-0.5,-2.5080317423360077,0.03288250887999311
1e3,25,J,v,-0.5,1.227394984005773,0.007335834612604231
100,50,J,v,-0.5,-3.1420270785037765,0.012189545319415629
500,50,J,v,-0.5,-4.045810713724073,0.1437251918250695
1e3,50,J,v,-0.5,0.3243344379427584,0.16871437267400324
100,10,N,v,-0.5,-1.7538187583905651,0.027666439244057983
500,10,N,v,-0.5,-0.49687359346273186,0.04490289732348174
1e3,10,N,v,-0.5,-0.2897309822798843,0.09991414321120828
100,25,N,v,-0.5,-2.167417034804382,0.23677250905893743
500,25,N,v,-0.5,-2.108438068898895,0.08387571753701195
1e3,25,N,v,-0.5,-0.8823428617018723,0.10886121151270345
100,50,N,v,-0.5,2.8321332164184234,0.16141064080875367
500,50,N,v,-0.5,-4.809297664698304,0.06881581002380699
1e3,50,N,v,-0.5,1.1799335077278177,0.14239265292417258
100,10,G,z,-0.5,0.4417258611346282,0.07602426764788106
500,10,G,z,-0.5,2.5069004160657253,0.10095512086991221
1e3,10,G,z,-0.5,-1.3603620605189797,0.017637945478782058
100,25,G,z,-0.5,0.546571238633534,0.11880775314057246
